iter	Passed	Remaining
907	17829	31260
908	17851	31244
909	17866	31217
910	17889	31202
911	17911	31187
912	17927	31162
913	17945	31138
914	17964	31118
915	17982	31095
916	18000	31073
917	18022	31057
918	18038	31031
919	18052	31003
920	18068	30977
921	18086	30955
922	18109	30940
923	18126	30916
924	18149	30902
925	18174	30893
926	18193	30871
927	18212	30851
928	18232	30831
929	18248	30806
930	18269	30789
931	18287	30766
932	18305	30745
933	18325	30725
934	18340	30698
935	18359	30677
936	18379	30658
937	18396	30635
938	18415	30614
939	18435	30594
940	18450	30568
941	18471	30550
942	18487	30524
943	18500	30493
944	18520	30475
945	18541	30457
946	18560	30438
947	18580	30418
948	18603	30403
949	18620	30380
950	18641	30363
951	18653	30331
952	18665	30299
953	18687	30283
954	18705	30262
955	18742	30270
956	18785	30288
957	18806	30271
958	18823	30247
959	18837	30218
960	18856	30198
961	18877	30181
962	18893	30155
963	18912	30134
964	18933	30117
965	18951	30094
966	18968	30071
967	18984	30045
968	18998	30017
969	19016	29994
970	19034	29972
971	19051	29949
972	19068	29926
973	19083	29898
974	19100	29875
975	19115	29848
976	19132	29825
977	19148	29799
978	19162	29772
979	19179	29748
980	19197	29726
981	19215	29703
982	19231	29678
983	19252	29662
984	19272	29643
985	19296	29629
986	19313	29606
987	19336	29592
988	19358	29576
989	19374	29551
990	19394	29532
991	19418	29518
992	19442	29506
993	19464	29490
994	19478	29462
995	19499	29445
996	19523	29432
997	19542	29412
998	19561	29390
999	19581	29371
1000	19603	29356
1001	19624	29338
1002	19647	29323
1003	19664	29301
1004	19684	29281
1005	19710	29271
1006	19737	29262
1007	19755	29241
1008	19777	29225
1009	19797	29206
1010	19823	29195
1011	19843	29177
1012	19859	29151
1013	19886	29143
1014	19910	29130
1015	19929	29110
1016	19944	29083
1017	19968	29070
1018	19993	29057
1019	20014	29040
1020	20030	29015
1021	20054	29002
1022	20079	28990
1023	20101	28974
1024	20118	28950
1025	20139	28933
1026	20159	28914
1027	20178	28893
1028	20196	28871
1029	20216	28853
1030	20241	28841
1031	20265	28827
1032	20286	28809
1033	20304	28787
1034	20321	28764
1035	20339	28742
1036	20358	28722
1037	20378	28703
1038	20398	28683
1039	20418	28664
1040	20440	28648
1041	20458	28626
1042	20474	28601
1043	20491	28577
1044	20511	28559
1045	20532	28541
1046	20550	28519
1047	20567	28495
1048	20587	28477
1049	20603	28451
1050	20626	28437
1051	20645	28417
1052	20665	28397
1053	20696	28393
1054	20719	28379
1055	20734	28353
1056	20750	28328
1057	20768	28306
1058	20785	28282
1059	20820	28284
1060	20846	28273
1061	20869	28258
1062	20894	28245
1063	20931	28249
1064	20953	28232
1065	20977	28219
1066	20998	28201
1067	21014	28176
1068	21030	28152
1069	21055	28139
1070	21079	28125
1071	21096	28102
1072	21121	28089
1073	21150	28082
1074	21171	28064
1075	21198	28055
1076	21224	28042
1077	21252	28034
1078	21274	28017
1079	21302	28009
1080	21324	27992
1081	21353	27984
